FID,Species,Longitude,Latitude,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,potveg
35,L_maackii,110.701804,32.583831,14.16732912,8.601548526,27.03643269,845.8369842,29.79382831,-2.020355162,31.81418347,23.52086417,3.437707722,24.36138028,3.437707722,980.1188727,176.2538,13,66.66680569,450.4349518,46.90641637,427.38816,46.90641637,10
36,L_maackii,111.195824,32.605886,15.71837461,8.606070379,26.1341513,890.3117713,31.39999962,-1.529144007,32.92914363,25.36869781,4.513765545,26.64017339,4.513765545,931.58064,161.79256,12,65.01038319,419.58512,45.49888,394.084,45.49888,6
37,L_maackii,109.361869,32.38885,14.99048776,9.462805477,29.49299162,831.3451477,30.53159448,-1.553259349,32.08485383,24.29299519,4.467369365,25.03975179,4.467369365,983.2737266,173.9999733,11,67.31681959,447.7702866,41.71912664,420.2948199,41.71912664,11
38,L_maackii,110.712211,32.144677,14.51284494,9.922172778,29.70926975,844.920758,30.9316474,-2.465846813,33.39749421,23.89947026,3.753532239,24.66613695,3.753532239,1010.922546,178,12,66.0831853,456.9807512,47.2972278,439.6835234,47.2972278,5
39,L_maackii,109.815677,32.089392,14.4766338,9.475927317,29.59819161,819.180114,29.99975272,-2.015117666,32.01487038,23.53060758,4.011595425,24.34583516,4.011595425,1044.001924,184.39172,12.35930327,66.80205531,472.0888167,46.35930327,451.7295135,46.35930327,5
40,L_maackii,118.79774,32.055645,15.92414432,8.113602587,24.27338606,923.4078719,32.27648851,-1.149368948,33.42585746,26.93830909,4.188920394,26.93830909,4.188920394,1072.895448,211.0552891,29.90766736,58.60215357,493.4331782,118.5480238,493.4331782,118.5480238,9
41,L_maackii,119.418318,32.059064,15.58416702,8.993569543,26.0683165,936.9887246,32.89123333,-1.608768026,34.50000135,26.90596748,3.865205264,26.90596748,3.865205264,1009.80184,174.88952,26,57.6033675,454.1579853,101.91232,454.1579853,101.91232,7
42,L_maackii,119.174162,31.92228,15.63754244,9.094933624,26.33598508,935.564594,32.97064273,-1.563868572,34.5345113,26.94301894,3.961462011,26.94301894,3.961462011,1043.762137,178.4149372,26.39413722,55.12977465,459.7621372,108.3941372,459.7621372,108.3941372,7
43,L_maackii,108.629497,31.824099,12.41900637,9.289450172,31.20418797,751.3634375,26.49737504,-3.270448064,29.76782311,20.64278054,2.772271306,21.33269848,2.772271306,1136.523066,188.0583459,13.89188,65.43638041,499.3024659,52.19434588,473.6547059,52.19434588,11
44,L_maackii,111.155751,31.731334,11.58829966,9.081391096,29.88705804,761.8813456,26.41520098,-3.969450614,30.38465159,19.92031746,1.770408317,20.64957899,1.770408317,1147.077276,197.5289328,17.76446641,63.7136311,503.3933992,63.98351923,501.6867985,63.98351923,7
45,L_maackii,121.55738,31.643417,15.4992249,7.246455431,23.36885145,867.9066621,31.39999962,0.390962864,31.00903675,25.86547295,7.195081039,25.91356646,4.751594046,1031.856303,159.1567143,32.21004,52.59239528,443.1514457,117.21004,410.6702914,118.21004,9
